Transverse_Slice_Pre,1,2,3,4,5,6,7,8,9,10
1,37466.0,3565.0,464.0,331.0,98.0,1.0,0.0,0.0,0.0,0.0
2,56080.0,68014.0,7294.0,2240.0,339.0,11.0,0.0,0.0,0.0,0.0
3,12344.0,80777.0,75389.0,8483.0,569.0,39.0,12.0,0.0,0.0,0.0
4,233.0,17143.0,88985.0,97995.0,6929.0,54.0,188.0,19.0,0.0,0.0
5,0.0,373.0,20491.0,128056.0,158471.0,15322.0,1021.0,245.0,2.0,0.0
6,0.0,15.0,361.0,25229.0,207229.0,212317.0,43990.0,4012.0,5.0,0.0
7,0.0,0.0,1.0,454.0,56302.0,240188.0,327653.0,38970.0,15.0,0.0
8,0.0,0.0,0.0,2.0,1271.0,57437.0,340933.0,317192.0,7115.0,3.0
9,0.0,0.0,0.0,0.0,2.0,194.0,27688.0,202112.0,98300.0,1430.0
10,0.0,0.0,0.0,0.0,0.0,0.0,43.0,7586.0,42556.0,3663.0
