,cylinder300_EXC,cylinder300_INH,ratio,ratio_norm
-C,-1,-1,1.0,0.0018217395039347906
-B,555057,82212,6.751532622974748,0.012299533691377573
-A,10738,35082,0.30608289151131635,0.0005576032949447517
A,75188930,12027662,6.251333800367852,0.011388301736412918
B,48277113,11167323,4.323069458992097,0.007875506411699906
C,72068488,12414160,5.805345508677188,0.010575827247147646
D,1170657,5177842,0.2260897493589028,0.0004118766278418287
E,3339580,4660246,0.7166102390303001,0.0013054771813656506
F,1285219,5370309,0.2393193762221131,0.00043597756172085585
G,391599,3623334,0.10807698103459411,0.00019688810581673123
H,107978,2507828,0.043056381857128956,7.843751172563303e-05
I,31840,2493918,0.012767059702845081,2.3258257009766852e-05
J,33708,2198322,0.015333513470729037,2.7933667223743346e-05
K,103664,2535490,0.040885193788971756,7.448217265139918e-05
L,2534,1370615,0.0018488050984412107,3.368041282906403e-06
M,156,877944,0.00017768787075257648,3.2370101352002787e-07
