,cylinder300_perisomatic,cylinder300_distal,ratio
-C,-1,-1,1.0
-B,16045,25508,0.6290183471851968
-A,6116,12520,0.48849840255591054
A,1016442,2038138,0.4987110784451298
B,934745,2005955,0.4659850295744421
C,1123706,2173146,0.5170872090508415
D,382805,1042875,0.3670670022773583
E,379719,865066,0.43894801090321434
F,418214,1086603,0.38488205904088246
G,271887,735564,0.36963065076594287
H,176944,534324,0.33115487981075153
I,166854,570368,0.2925374495062837
J,152165,484306,0.31419185391054416
K,186286,527586,0.3530912495782678
L,86120,328556,0.2621166559125385
M,49716,229026,0.21707579052160017
